,id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x7_log,Fat1,Fat2,Fat3,Fat4,Fat5
10,11,Acima de 5 Anos,Indústria de Revista,Grande (500+),USA/América do Norte,Direto,"8,7","3,2","4,6","4,8","2,7","6,8","4,6","6,8","5,8","7,5","3,8","3,7","4,0","7,4","7,0","8,4","68,1",Não,"1,1631508098056809","-0,2561316939600862","0,7291650684754255","-0,45274443469510384","-0,7049613940122822","1,4814831237890862"
11,12,Menos de 1 Ano,Indústria de Revista,Grande (500+),Fora da América do Norte,Indireto,"6,1","4,9","6,3","3,9","4,4","3,9","6,4","8,2","5,8","5,9","3,0","4,9","3,1999999999999997","6,0","6,3","6,6","53,1",Não,"1,589235205116581","-1,481926743833439","-1,0289318307141815","0,44432416075739","1,305113637430912","0,3640700982957639"
12,13,Menos de 1 Ano,Indústria de Jornal,Pequena (0 to 499),USA/América do Norte,Direto,"9,5","5,6","4,6","6,9","5,0","6,8999999999999995","6,6","7,6","6,5","5,3","5,1","4,5","4,4","8,4","8,4","7,9","58,1",Sim,"1,7227665977411035","0,6256860168880686","0,9572685882664836","-0,2098922123350245","2,0004485872631945","-0,0679329703753071"
13,14,Acima de 5 Anos,Indústria de Jornal,Pequena (0 to 499),USA/América do Norte,Direto,"9,2","3,9","5,7","5,5","2,4","8,399999999999999","4,8","7,1","6,7","3,0","4,5","2,6","4,2","7,6","6,9","8,2","72,1",Sim,"1,3609765531356006","0,24308493278651291","1,4034892133275128","0,3382427564470427","-0,2143817475649889","-1,62866630218608"
14,15,Entre 1 e 5 Anos,Indústria de Revista,Grande (500+),Fora da América do Norte,Direto,"6,3","4,5","4,7","6,9","4,5","6,8","5,9","8,8","6,0","5,4","4,8","6,199999999999999","5,2","8,0","7,0","7,6","62,1",Sim,"1,5040773967762742","1,3493688910298547","-0,910363342041391","-0,25981997955429054","0,6916386847389119","-0,009337805437169985"
15,16,Acima de 5 Anos,Indústria de Revista,Pequena (0 to 499),USA/América do Norte,Indireto,"8,7","3,2","4,0","6,8","3,2","7,8","3,8","4,9","6,1","5,0","4,3","3,9000000000000004","4,5","6,6","6,4","7,1","71,1",Não,"1,1631508098056809","0,9126739226169558","1,206357586952624","-0,5910649826527261","-1,0059324616374739","-0,17224230526241133"
16,17,Entre 1 e 5 Anos,Indústria de Jornal,Pequena (0 to 499),Fora da América do Norte,Direto,"5,7","4,0","6,7","6,0","3,3","5,5","5,1","6,2","6,7","5,4","4,2","6,199999999999999","4,5","6,4","7,5","7,2","50,1",Sim,"1,3862943611198906","0,6044538708802307","-1,2226537785476161","1,1195069710446122","-0,3328734436007742","-0,03148944850391414"
17,18,Entre 1 e 5 Anos,Indústria de Revista,Grande (500+),Fora da América do Norte,Indireto,"5,9","4,1","5,5","7,2","3,5","6,3999999999999995","5,5","8,4","6,2","6,3","5,7","5,800000000000001","4,8","7,4","6,9","8,2","58,1",Sim,"1,410986973710262","1,4899866170938527","-1,158666992211855","0,29375311615473365","-0,09413232371858729","0,4502757699795982"
18,19,Entre 1 e 5 Anos,Indústria de Jornal,Grande (500+),Fora da América do Norte,Indireto,"5,6","3,4","5,1","6,4","3,7","5,699999999999999","5,6","9,1","5,4","6,1","5,0","6,0","4,5","6,8","7,5","7,9","55,1",Não,"1,2237754316221157","0,9785811997514338","-1,5256561739658943","-0,3256645424570416","-0,3806470498174468","0,47488691186624304"
19,20,Acima de 5 Anos,Indústria de Revista,Grande (500+),Fora da América do Norte,Indireto,"9,1","4,5","3,6","6,4","5,3","5,3","7,1","8,4","5,8","6,7","4,5","6,1","4,4","7,6","8,5","8,8","67,1",Sim,"1,5040773967762742","0,4210410442628908","-0,0603277938912266","-0,9247960293373952","1,7255726780192624","1,080082246871184"
20,21,Menos de 1 Ano,Indústria de Revista,Pequena (0 to 499),Fora da América do Norte,Indireto,"5,2","3,8000000000000003","7,1","5,2","3,9","4,3","5,0","8,4","7,1","4,6","3,3","4,9","3,3","5,4","5,5","7,0","50,1",Não,"1,3350010667323402","-0,7488959698462366","-1,6150348355840216","1,556666553937536","-0,13489624105413353","-0,34177175370829005"
21,22,Acima de 5 Anos,Indústria de Jornal,Grande (500+),Fora da América do Norte,Direto,"9,6","5,699999999999999","6,8","5,9","5,4","8,3","7,8","4,5","6,4","6,5","4,3","3,0","4,3","9,9","9,6","9,9","70,1",Sim,"1,7404661748405044","-0,1131948015443959","2,3634591612820133","0,5732900601757074","2,7471789973050944","0,6254446362211641"
22,23,Entre 1 e 5 Anos,Indústria de Revista,Pequena (0 to 499),USA/América do Norte,Direto,"8,6","3,6","7,4","5,1","3,5","7,3","4,7","3,7","6,7","6,0","4,8","3,4000000000000004","4,0","7,0","7,1","8,1","60,1",Não,"1,2809338454620642","0,09555388144819069","1,3116260412094713","1,1284153909229022","-0,286688930614994","0,42908575458799414"
23,24,Acima de 5 Anos,Indústria de Revista,Grande (500+),Fora da América do Norte,Direto,"9,3","2,4000000000000004","2,6","7,2","2,2","7,2","4,5","6,2","6,4","4,2","6,7","4,4","4,5","8,6","8,1","8,0","65,1",Sim,"0,8754687373539001","1,9079441238052242","0,6411135975089612","-0,8740642836826721","-1,7981149381268986","-0,5938907653920903"
24,25,Menos de 1 Ano,Indústria de Revista,Pequena (0 to 499),Fora da América do Norte,Indireto,"6,0","4,1","5,3","4,7","3,5","5,3","5,3","8,0","6,5","3,9","4,7","5,300000000000001","4,0","4,8","4,9","5,5","55,1",Não,"1,410986973710262","0,05736345049711885","-1,1139360170568215","0,4602511497514775","0,02788092673451723","-0,9244292610824586"
25,26,Entre 1 e 5 Anos,Indústria de Revista,Grande (500+),Fora da América do Norte,Indireto,"6,4","3,6","6,6","6,1","4,0","3,9","5,3","7,1","6,1","3,7","5,6","6,6","3,9","6,6","6,8","7,0","58,1",Não,"1,2809338454620642","0,7396175733536963","-1,6436893680790625","0,6488521059992653","-0,3167656004030432","-1,0087856032038942"
26,27,Acima de 5 Anos,Indústria de Revista,Pequena (0 to 499),USA/América do Norte,Indireto,"8,5","3,0","7,2","5,8","4,1","7,6","3,7","4,8","6,9","6,7","5,3","3,8","4,4","6,3","7,1","7,0","70,1",Não,"1,0986122886681098","0,777833841148244","0,9371269929804416","1,0805460505427724","-0,9813545008851035","1,0928391969523712"
27,28,Menos de 1 Ano,Indústria de Jornal,Pequena (0 to 499),Fora da América do Norte,Indireto,"7,0","3,3000000000000003","5,4","5,5","2,6","4,8","4,2","9,0","6,5","5,9","4,3","5,2","3,6999999999999997","5,4","5,5","5,6","55,1",Não,"1,1939224684724346","0,005772044200719834","-1,2540973952991494","0,41888469604012973","-1,0931660440429045","0,46489956560236"
28,29,Acima de 5 Anos,Indústria de Revista,Pequena (0 to 499),USA/América do Norte,Indireto,"8,5","3,0","5,7","6,0","2,3","7,6","3,7","4,8","5,8","6,0","5,7","3,8","4,4","6,3","6,9","7,2","70,1",Não,"1,0986122886681098","1,0796670934905406","0,9205264686823993","-0,06466433924199291","-1,57994980368584","0,3195442735431889"
29,30,Menos de 1 Ano,Indústria de Jornal,Grande (500+),Fora da América do Norte,Indireto,"7,6","3,6","3,0","4,0","5,1","4,199999999999999","4,6","7,7","4,9","7,2","4,7","5,5","3,5","5,4","5,5","6,2","52,1",Não,"1,2809338454620642","-0,4633738253875439","-0,5482338539013563","-1,4900678346204508","0,12567890994624295","1,5141760650982374"
30,31,Menos de 1 Ano,Indústria de Jornal,Pequena (0 to 499),USA/América do Norte,Direto,"6,9","3,4","8,5","4,3","4,5","6,3999999999999995","4,7","5,2","7,7","3,3","3,7","2,7","3,3","6,1","6,8","7,1","44,1",Não,"1,2237754316221157","-0,9153549133144998","0,5071003975091207","2,2392368062898056","-0,08654359154319738","-1,060525695137833"
31,32,Menos de 1 Ano,Indústria de Revista,Grande (500+),Fora da América do Norte,Indireto,"8,1","2,5","7,2","4,5","2,3","5,1","3,8","6,6","6,8","6,1","3,0","3,5","3,0","6,4","5,8","6,2","51,1",Não,"0,9162907318741551","-1,0923481644074942","-0,07773251323732726","1,211544269667977","-1,732273323123413","0,7779173547276848"
32,33,Menos de 1 Ano,Indústria de Jornal,Grande (500+),Fora da América do Norte,Indireto,"6,7","3,7","6,5","5,3","5,3","5,1","4,9","9,2","5,7","4,2","3,5","4,5","3,4","5,4","6,5","7,6","44,1",Não,"1,308332819650179","-0,6131594096522017","-0,7584111527095826","0,17432677743153346","0,36026521341833906","-0,4967398578869829"
33,34,Entre 1 e 5 Anos,Indústria de Jornal,Grande (500+),Fora da América do Norte,Indireto,"8,0","3,3000000000000003","6,1","5,7","5,5","4,6","4,7","8,7","5,9","3,8","4,7","6,6","4,2","7,3","7,5","9,0","62,1",Sim,"1,1939224684724346","0,5278436706506234","-1,1240226209205737","0,001295539996479321","-0,028253991458516342","-0,5702235886173158"
34,35,Menos de 1 Ano,Indústria de Revista,Grande (500+),Fora da América do Norte,Indireto,"6,7","4,0","5,2","3,9","3,0","5,4","6,8","8,4","6,2","6,0","2,5","4,300000000000001","3,5","6,3","6,6","6,7","54,1",Não,"1,3862943611198906","-1,334095099824972","-0,47892213758043994","0,26302521723474537","0,7058559069156554","0,4606415842320212"
35,36,Menos de 1 Ano,Indústria de Revista,Pequena (0 to 499),USA/América do Norte,Indireto,"8,7","3,2","6,1","4,3","3,5","6,1","2,9","5,6","6,1","6,5","3,1","2,9000000000000004","2,5","5,4","4,6","7,1","51,1",Não,"1,1631508098056809","-1,3822261459904972","0,9832123360944575","0,2764187538101482","-1,03213280953795","0,9671815690759772"
36,37,Entre 1 e 5 Anos,Indústria de Revista,Pequena (0 to 499),USA/América do Norte,Direto,"9,0","3,4","5,9","4,6","3,9","6,0","4,5","6,8","6,4","4,3","3,9","3,5","3,5","7,1","8,0","7,2","57,1",Não,"1,2237754316221157","-0,6180281713350831","0,6942997063394681","0,2896118516467232","-0,19348163282018419","-0,43105293622149726"
37,38,Acima de 5 Anos,Indústria de Revista,Grande (500+),Fora da América do Norte,Direto,"9,6","4,1","6,2","7,3","2,9","7,7","5,5","7,7","6,1","4,4","5,2","4,6","4,9","8,7","9,9","9,9","77,1",Sim,"1,410986973710262","1,3403805435054552","0,7041732125428056","0,06236824332751735","0,12150695092412397","-0,7846286450828409"
38,39,Entre 1 e 5 Anos,Indústria de Jornal,Grande (500+),Fora da América do Norte,Indireto,"8,2","3,6","3,9","6,2","5,8","4,9","5,0","9,0","5,2","7,1","4,7","6,9","4,5","7,6","6,9","7,6","65,1",Sim,"1,2809338454620642","0,7489293131100236","-0,8895940267046007","-1,2133446090210136","0,3975575951694779","1,5185522528588875"
39,40,Menos de 1 Ano,Indústria de Revista,Pequena (0 to 499),Fora da América do Norte,Indireto,"6,1","4,9","3,0","4,8","5,1","3,9","6,4","8,2","5,1","6,8","4,5","4,9","3,1999999999999997","6,0","5,5","5,8","53,1",Não,"1,589235205116581","-0,7564165460865324","-0,8067618173316304","-1,1511419359592103","1,4460339795927206","0,9480749148531938"
40,41,Entre 1 e 5 Anos,Indústria de Jornal,Grande (500+),Fora da América do Norte,Indireto,"8,3","3,4","3,3","5,5","3,1","4,6","5,2","9,1","4,1","1,7","4,6","5,800000000000001","3,9","7,0","7,5","8,4","61,1",Sim,"1,2237754316221157","0,35765986028426655","-0,7509937918010741","-2,047851297753321","-0,41095644886903504","-2,3615705729192205"
41,42,Entre 1 e 5 Anos,Indústria de Jornal,Pequena (0 to 499),USA/América do Norte,Direto,"9,4","3,8000000000000003","4,7","5,4","3,8","6,5","4,9","8,5","4,9","6,2","4,1","4,5","4,1000000000000005","7,6","8,0","7,9","61,1",Sim,"1,3350010667323402","0,024369711315622974","0,5311256991408829","-1,1751036843168925","0,1503850854971521","0,6098435055848985"
42,43,Acima de 5 Anos,Indústria de Revista,Grande (500+),USA/América do Norte,Direto,"9,3","5,1","4,6","6,8","5,8","6,6","6,3","7,4","5,1","4,1","4,6","4,6","4,3","8,9","7,8","7,6","72,1",Sim,"1,62924053973028","0,48301552099798706","0,9766638946900491","-1,1478504679793142","1,902734834269338","-0,8051526696447396"
43,44,Entre 1 e 5 Anos,Indústria de Jornal,Grande (500+),Fora da América do Norte,Direto,"5,1","5,1","6,6","6,9","4,4","5,4","7,8","5,9","7,2","5,2","4,9","6,300000000000001","4,5","7,6","7,9","8,4","55,1",Sim,"1,62924053973028","0,8117269366781443","-1,177722855897817","1,5164752803915922","1,5185279165318044","-0,26460665223187235"
44,45,Acima de 5 Anos,Indústria de Jornal,Pequena (0 to 499),USA/América do Norte,Indireto,"8,0","2,5","4,7","7,1","3,6","7,7","3,0","5,2","5,1","3,9","4,3","4,2","4,7","5,5","5,6","6,5","65,1",Não,"0,9162907318741551","1,3001870876886004","0,7564433240541524","-1,011708396360075","-1,8865039541694988","-0,8025060760987917"
45,46,Entre 1 e 5 Anos,Indústria de Revista,Grande (500+),Fora da América do Norte,Indireto,"5,9","4,1","5,7","5,9","5,8","6,3999999999999995","5,5","8,4","6,4","5,1","5,2","5,800000000000001","4,8","7,4","8,6","7,7","58,1",Sim,"1,410986973710262","0,9536626197022914","-0,959189226799456","0,365701145552602","0,7209214407275546","0,04319428581073676"
46,47,Acima de 5 Anos,Indústria de Jornal,Pequena (0 to 499),USA/América do Norte,Direto,"10,0","4,300000000000001","7,1","6,3","2,9","5,4","4,5","3,8","6,7","3,7","5,0","4,0","3,5","7,1","8,8","8,0","67,1",Sim,"1,458615022699517","0,11801703256534526","1,100275909766125","0,934974804383113","-0,12137431889103076","-1,20116091876197"
47,48,Entre 1 e 5 Anos,Indústria de Jornal,Grande (500+),Fora da América do Norte,Indireto,"5,7","3,8000000000000003","6,8","7,5","5,7","5,699999999999999","6,0","8,2","6,6","4,8","6,5","7,300000000000001","5,2","7,6","7,6","7,1","60,1",Não,"1,3350010667323402","2,113445701770506","-1,7726525692146116","0,9119867062533242","0,4353167273491164","-0,19770916643720077"
48,49,Acima de 5 Anos,Indústria de Revista,Pequena (0 to 499),Fora da América do Norte,Direto,"9,9","3,7","3,7","6,1","4,2","7,0","6,7","6,8","5,9","7,2","4,5","3,4000000000000004","3,9","8,7","8,1","8,5","67,1",Sim,"1,308332819650179","0,014280076855049149","1,5116444866555043","-0,8303234322652032","0,9943482956334044","1,3307460543442313"
49,50,Acima de 5 Anos,Indústria de Jornal,Grande (500+),USA/América do Norte,Direto,"7,9","3,9","4,3","5,8","4,4","6,8999999999999995","5,8","4,7","5,2","3,6","4,1","4,2","4,3","8,6","7,8","7,6","61,1",Sim,"1,3609765531356006","0,30907153427141587","1,0193469464804736","-0,9421458085802524","0,5632200741896554","-1,1564797751659623"
50,51,Menos de 1 Ano,Indústria de Revista,Grande (500+),Fora da América do Norte,Indireto,"6,7","3,6","5,9","4,2","3,4","4,699999999999999","4,8","7,2","5,7","5,3","4,0","3,6","2,8","5,4","7,5","7,2","48,1",Não,"1,2809338454620642","-1,1101765676764497","-0,36069435867971444","0,20037415231066835","-0,30428638209755976","-0,005994781294164537"
51,52,Acima de 5 Anos,Indústria de Jornal,Pequena (0 to 499),USA/América do Norte,Indireto,"8,2","2,7","3,7","7,4","2,7","7,8999999999999995","3,1","5,3","5,3","5,0","4,5","4,300000000000001","4,9","5,7","7,1","8,2","67,1",Sim,"0,9932517730102834","1,5283114899592234","0,799871822215929","-1,201787734054069","-1,9480564337666728","-0,22021185864533152"
52,53,Acima de 5 Anos,Indústria de Revista,Grande (500+),Fora da América do Norte,Direto,"9,4","2,5","4,8","6,1","3,2","7,3","4,6","6,3","6,3","9,2","4,7","4,6","4,6000000000000005","8,7","9,0","9,0","66,1",Sim,"0,9162907318741551","0,8361662475650651","0,7310341189057435","-0,170981085012149","-1,2190019560345606","2,807644442362255"
53,54,Menos de 1 Ano,Indústria de Jornal,Pequena (0 to 499),USA/América do Norte,Direto,"6,9","3,4","5,7","4,4","3,3","6,3999999999999995","4,7","5,2","6,4","4,4","3,2","2,7","3,3","6,1","7,0","7,2","44,1",Não,"1,2237754316221157","-0,971569925031547","0,6776030129865049","0,5034573798990525","-0,41761009041033204","-0,5484670941565485"
54,55,Entre 1 e 5 Anos,Indústria de Jornal,Grande (500+),Fora da América do Norte,Indireto,"8,0","3,3000000000000003","3,8","5,8","3,2","4,6","4,7","8,7","5,3","4,2","4,9","6,6","4,2","7,3","8,1","8,1","62,1",Sim,"1,1939224684724346","0,7250358191541334","-1,1627514205747707","-1,0591539090412418","-0,7487475904763925","-0,6112576014782999"
55,56,Acima de 5 Anos,Indústria de Jornal,Pequena (0 to 499),USA/América do Norte,Indireto,"9,3","3,8000000000000003","7,3","5,7","3,7","6,3999999999999995","5,5","7,4","6,6","5,9","4,1","3,2","3,4","7,7","7,6","8,9","59,1",Sim,"1,3350010667323402","-0,4943640403722682","0,832587821706051","0,91571785948009","0,38418765183235654","0,43511829898447557"
56,57,Entre 1 e 5 Anos,Indústria de Revista,Grande (500+),Fora da América do Norte,Direto,"7,4","5,1","4,8","7,7","4,5","7,2","6,9","9,6","6,4","7,4","5,7","6,5","5,5","9,0","7,9","8,8","74,1",Sim,"1,62924053973028","1,852051334615635","-0,7022026001981901","-0,05125585338216507","1,3935660932053726","1,2231547847823627"
57,58,Acima de 5 Anos,Indústria de Jornal,Pequena (0 to 499),USA/América do Norte,Indireto,"7,6","3,6","5,2","5,8","5,6","6,6","5,4","4,4","6,7","6,4","4,6","3,9000000000000004","4,0","8,2","7,5","7,5","58,1",Sim,"1,2809338454620642","0,1526182634294768","0,8982757198633377","0,3816254264835829","0,5687246772786662","0,9586231376582646"
58,59,Acima de 5 Anos,Indústria de Jornal,Pequena (0 to 499),USA/América do Norte,Indireto,"10,0","4,300000000000001","5,3","3,7","4,2","5,4","4,5","3,8","6,7","4,5","3,7","4,0","3,5","7,1","6,5","7,0","67,1",Não,"1,458615022699517","-1,0013121145650385","1,3904246322452696","0,27341192965084177","0,505612973054648","-0,32364033373601653"
59,60,Acima de 5 Anos,Indústria de Jornal,Grande (500+),Fora da América do Norte,Indireto,"9,9","2,8","7,2","6,9","2,6","5,8","3,5","5,4","6,2","7,0","5,6","4,9","4,0","7,9","8,5","8,5","61,1",Sim,"1,0296194171811581","0,9964633480251592","0,3819179880715996","0,6084444136723528","-1,706752671669618","1,151278754391327"
60,61,Acima de 5 Anos,Indústria de Revista,Pequena (0 to 499),USA/América do Norte,Indireto,"8,7","3,2","8,4","6,1","2,8","7,8","3,8","4,9","7,2","4,5","5,4","3,9000000000000004","4,5","6,6","6,9","7,2","71,1",Sim,"1,1631508098056809","1,0121768121981118","0,8054741680631167","1,6801104540627236","-1,2255957809548912","-0,54202669876764"
61,62,Entre 1 e 5 Anos,Indústria de Revista,Grande (500+),Fora da América do Norte,Direto,"8,4","3,8000000000000003","6,7","5,0","4,5","4,699999999999999","5,9","6,7","5,1","4,2","2,7","5,0","3,6","8,0","7,6","8,8","63,1",Sim,"1,3350010667323402","-0,8623163165307904","0,021516360738829322","-0,18183222277206484","0,6784986115100372","-0,6080276035008135"
62,63,Menos de 1 Ano,Indústria de Revista,Pequena (0 to 499),USA/América do Norte,Direto,"8,8","3,9","3,8","5,1","4,3","4,699999999999999","4,8","5,8","5,0","7,2","4,4","3,7","2,9","6,3","5,5","8,0","44,1",Não,"1,3609765531356006","-0,7991066060501548","0,7649853181597931","-1,167794038881866","0,2841149900122551","1,2694532531252891"
63,64,Menos de 1 Ano,Indústria de Revista,Grande (500+),Fora da América do Norte,Indireto,"7,7","2,2","6,3","4,5","2,4","4,699999999999999","3,4","6,2","6,0","4,7","3,3","3,1","2,6","6,0","6,0","8,1","47,1",Não,"0,7884573603642703","-1,1198969828600016","-0,0598054695284265","0,43142684423567484","-2,1884232207786174","-0,12435438382391586"
64,65,Menos de 1 Ano,Indústria de Revista,Grande (500+),Fora da América do Norte,Indireto,"6,6","3,6","5,8","4,1","4,9","4,699999999999999","4,8","7,2","6,5","3,9","3,5","3,6","2,8","5,4","6,9","7,1","48,1",Não,"1,2809338454620642","-1,3099223375950877","-0,2989757563756582","0,5812850696445251","0,21271063758945646","-0,6299064414696791"
65,66,Entre 1 e 5 Anos,Indústria de Jornal,Grande (500+),Fora da América do Norte,Indireto,"5,7","3,8000000000000003","3,5","6,7","5,4","5,699999999999999","6,0","8,2","5,4","5,0","4,7","7,300000000000001","5,2","7,6","6,9","9,0","60,1",Sim,"1,3350010667323402","1,4193535508997843","-1,444510752471955","-1,0052679312071975","0,5144985850473279","-0,05393350491686761"
66,67,Entre 1 e 5 Anos,Indústria de Jornal,Pequena (0 to 499),Fora da América do Norte,Indireto,"5,7","4,0","7,9","6,4","2,7","5,5","5,1","6,2","7,5","6,4","5,0","6,199999999999999","4,5","6,4","5,6","6,2","50,1",Não,"1,3862943611198906","0,9126430329864685","-1,4324210275035263","2,1049245375412626","-0,5946228957677214","0,5521428972909552"
67,68,Entre 1 e 5 Anos,Indústria de Jornal,Pequena (0 to 499),Fora da América do Norte,Direto,"5,5","3,7","4,7","5,4","4,3","5,3","4,9","6,0","5,6","2,5","4,5","5,9","4,3","6,1","6,3","8,2","48,1",Não,"1,308332819650179","0,5495602102671173","-0,9840395135934039","-0,33222953835787605","-0,25644820387793854","-1,800484670412431"
68,69,Menos de 1 Ano,Indústria de Jornal,Grande (500+),Fora da América do Norte,Indireto,"7,5","3,5","3,8","3,5","2,9","4,1","4,5","7,6","5,1","5,2","4,0","5,4","3,4","5,2","5,8","5,8","51,1",Não,"1,252762968495368","-0,7522704570946306","-0,7907892077460574","-1,0025384429634405","-0,63332491674675","0,00882108325241273"
69,70,Entre 1 e 5 Anos,Indústria de Revista,Grande (500+),Fora da América do Norte,Indireto,"6,4","3,6","2,7","5,3","3,9","3,9","5,3","7,1","5,2","5,5","4,7","6,6","3,9","6,6","6,6","8,0","58,1",Sim,"1,2809338454620642","0,2782058174200044","-1,3202710252684722","-1,2483114813471563","-0,21222155493945258","0,2106352443686691"
70,71,Acima de 5 Anos,Indústria de Revista,Pequena (0 to 499),Fora da América do Norte,Indireto,"9,1","4,5","6,1","5,9","6,3","5,3","7,1","8,4","7,1","5,7","5,4","6,1","4,4","7,6","7,5","7,7","67,1",Não,"1,5040773967762742","0,5078085498469933","-0,24665544251678811","0,7313356972683215","1,9903168905312267","0,6192695505530849"
71,72,Menos de 1 Ano,Indústria de Jornal,Pequena (0 to 499),USA/América do Norte,Direto,"6,7","3,2","3,0","3,7","4,8","6,3","4,5","5,0","5,2","2,5","2,9","2,6","3,1","5,8","6,0","7,0","43,1",Não,"1,1631508098056809","-1,2373244007474828","1,0068382045606485","-1,2740802260270676","-0,1001172060137292","-1,584004354775903"
72,73,Entre 1 e 5 Anos,Indústria de Revista,Grande (500+),Fora da América do Norte,Indireto,"6,5","4,300000000000001","2,7","6,6","6,5","6,3","6,0","8,7","4,7","6,3","4,6","5,6","4,6000000000000005","7,9","6,6","7,9","66,1",Não,"1,458615022699517","0,7777670089794766","-0,3711203985906777","-1,832242303044788","1,3566817279714338","0,7808923467558954"
73,74,Acima de 5 Anos,Indústria de Revista,Grande (500+),Fora da América do Norte,Direto,"9,9","3,7","7,5","4,7","5,6","7,0","6,7","6,8","7,2","4,6","4,1","3,4000000000000004","3,9","8,6","8,8","9,8","66,1",Sim,"1,308332819650179","-0,5270761841426743","1,3461804250323357","1,2163963631637527","1,478482449336802","-0,06497126915832303"
74,75,Entre 1 e 5 Anos,Indústria de Revista,Grande (500+),Fora da América do Norte,Direto,"8,5","3,9","5,3","5,5","5,0","4,9","6,0","6,8","5,7","3,6","4,4","5,1","3,6999999999999997","8,2","7,0","8,4","65,1",Sim,"1,3609765531356006","-0,12066978614103105","0,05460512977288429","-0,314811418675162","0,8548362110003911","-0,935991521860504"
